Location,Games,Wins,Win_Percentage,Avg_PSU_Goals,Avg_Opponent_Goals,Avg_Goal_Differential,Avg_Shot_Differential,Win Percentage
"Albany, N.Y. / MVP Arena",2,0,0.0,1.0,3.0,-2.0,-9.0,0.0
"Ann Arbor, Mich. / Yost Ice Arena",2,0,0.0,4.0,4.0,0.0,1.0,0.0
"Columbus, Ohio / Value City Arena",2,2,1.0,3.0,2.0,1.0,7.0,100.0
"East Lansing, Mich. / Munn Ice Arena",4,0,0.0,0.5,3.5,-3.0,-9.5,0.0
"Madison, Wis. / Kohl Center",4,4,1.0,5.0,1.5,3.5,-7.5,100.0
"Minneapolis, Minn. / 3M Arena at Mariucci",4,2,0.5,2.0,2.0,0.0,2.5,50.0
"Rochester, N.Y. / Gene Polisseni Center",2,0,0.0,0.0,1.0,-1.0,23.0,0.0
"South Bend, Ind. / Compton Family Ice Arena",4,0,0.0,3.0,3.5,-0.5,-6.0,0.0
"Tempe, Ariz. / Mullett Arena",4,4,1.0,5.0,2.5,2.5,4.0,100.0
"University Park, Pa. / Pegula Ice Arena",38,28,0.7368421052631579,4.421052631578948,3.263157894736842,1.1578947368421053,2.210526315789474,73.68421052631578
"University Park, Pa. / West Shore Home Field at Beaver Stadium",2,0,0.0,4.0,5.0,-1.0,-5.0,0.0
