Feature,Importance
Opponent Shooting %,0.23385567669467974
PSU Shooting %,0.10260801942217405
Opponent Save %,0.0981975359725004
Opponent Faceoff %,0.08311641413162289
Faceoff Differential,0.08111549508603218
Shot Differential,0.07778741869618142
PSU Faceoff %,0.0634093323671012
PSU Blocks,0.05496487847396882
PSU Shots on Goal,0.05077347748997987
Opponent Shots on Goal,0.04920183951567145
Opponent Blocks,0.04044959013293186
PSU Penalty Minutes,0.03368288450447398
Opponent Penalty Minutes,0.03083743751268223
