,0,1,Difference
WMT Game ID,5793687.277777778,5839207.136363637,45519.85858585872
Shot Differential,-1.1111111111111112,3.0454545454545454,4.156565656565657
PSU Shooting %,8.305484113462477,12.449618137007723,4.144134023545247
Goal Differential,-1.6666666666666667,2.227272727272727,3.8939393939393936
Opponent Faceoff %,43.79555555555555,47.36727272727273,3.571717171717175
Total Penalty Minutes,19.055555555555557,22.318181818181817,3.2626262626262594
Opponent Penalty Minutes,9.38888888888889,12.545454545454545,3.1565656565656557
PSU Blocks,13.777777777777779,15.818181818181818,2.0404040404040398
PSU Shots on Goal,32.111111111111114,33.5,1.3888888888888857
PSU Goals,2.7777777777777777,4.045454545454546,1.2676767676767682
PSU Total Shot Attempts,60.22222222222222,61.22727272727273,1.0050505050505052
Opponent Saves,29.333333333333332,29.454545454545453,0.1212121212121211
PSU Penalty Minutes,9.666666666666666,9.772727272727273,0.1060606060606073
PSU Save %,0.8619444444444445,0.9389545454545455,0.07701010101010097
Home Game,0.4444444444444444,0.45454545454545453,0.01010101010101011
Opponent Save %,0.917,0.8756363636363637,-0.04136363636363638
PSU Saves,28.77777777777778,28.636363636363637,-0.14141414141414188
Opponent Total Shot Attempts,60.55555555555556,60.09090909090909,-0.46464646464646364
PSU Faceoffs Lost,29.555555555555557,28.863636363636363,-0.6919191919191938
Opponent Faceoffs Won,29.555555555555557,28.863636363636363,-0.6919191919191938
Opponent Blocks,14.0,13.090909090909092,-0.9090909090909083
Total Goals,7.222222222222222,5.863636363636363,-1.358585858585859
Total Shots on Goal,65.33333333333333,63.95454545454545,-1.3787878787878753
Opponent Goals,4.444444444444445,1.8181818181818181,-2.6262626262626263
Opponent Shots on Goal,33.22222222222222,30.454545454545453,-2.767676767676768
PSU Faceoff %,56.20444444444445,52.63272727272727,-3.571717171717175
PSU Faceoffs Won,38.0,32.0,-6.0
Opponent Faceoffs Lost,38.0,32.0,-6.0
Faceoff Differential,12.408888888888889,5.265454545454546,-7.143434343434343
Opponent Shooting %,13.810511544782944,6.111329148991397,-7.6991823957915475
